sentence,exercise_segment,feeling_segment,exercise_value,feeling_value
I swam 50 laps   I felt refreshed .,swam,refreshed,Swimming,positive
i just ran i am exhausted,ran,exhausted,Running,negative
I held a 3 minute plank I feel exhausted but powerful,plank,exhausted powerful,Planking,positive
I deadlifted 200 lbs . man that hurt,deadlifted,hurt,Dead lifts,negative
Pull ups My arms were so sore i was at muscle failure,Pull ups,sore muscle failure,Pull ups,negative
I just ran two miles on the track . I was extremely tired after this workout .,ran,tired,Running,negative
I cycled for one hour and my legs were in so much pain after !,cycled,pain,Bicycling,negative
I WORKOUT KARATE IN BLACK BELT   MY MUSCLES GETTING STRONG,KARATE,STRONG,Martial Arts,positive
I jogged around the lake this morning .   I felt great afterwards .,jogged,great,Jogging,positive
I ran 2 miles in the estate It was horrible,ran,horrible,Jogging,negative
I swam a kilometre and felt pleasantly tired,swam,pleasantly tired,Swimming,neutral
I walked two miles . I am wore out !,walked,wore out,Walking,negative
I took a class in aerobics . I felt good while doing the exercise and sore after exercise .,aerobics,good sore,Aerobics,positive
I did a heavy weight exercise today and it made my muscles very sore .,weight,sore,"Weights, general",neutral
i pulled some weights   i felt very tired,weights,tired,"Weights, general",negative
I went to the gym for the first time and did weight training exercises . I felt out of breath and sore but determined .,weight training,out of breath sore determined,"Weights, general",neutral
"I just did spin cycle for an hour . I felt out of breath but good , however my legs are sore and my butt hurts .",spin cycle,out of breath good sore butt hurts,Bicycling,negative
I used the elliptical machine for an hour . I feel tired from moving my arms and legs .,elliptical machine,tired,Elliptical Machine,negative
Squats Felt strength,Squats,strength,Squats,positive
I did 30 minutes of aerobics I felt exhausted,aerobics,exhausted,Aerobics,negative
10 push ups pumped ready to do a second set,push ups,pumped,Push ups,positive
bike riding i felt kind of tired,bike riding,kind of tired,Bicycling,neutral
30 minute run .    Harder than expected,run,Harder,Running,negative
i walked around 10 miles and felt like exhausted,walked,exhausted,Walking,negative
I went for a long hike up a mountain . My legs are shaky & sore .,hike,shaky sore,Hiking,negative
i did push ups this is hard,push ups,hard,Push ups,negative
One set of squats Now my legs hurt,squat,legs hurt,Squats,negative
I walked 2 miles and felt more alert and upbeat .,walked,alert upbeat,Walking,positive
I walked 3 miles and now feel more energized,walked,energized,Walking,positive
I just finished lifting weights for 2 hours .   I felt great after the 2 hour workout and I feel really strong .,lifting weights,great really strong,"Weights, general",positive
I ran laps around the track I felt accomplished and tired,ran,accomplished tired,Running,positive
I did 5 pull ups . My arms were shaking at the end of my third pull up .,pull up,shaking,Pull ups,negative
I just did heavy back squats . I was struggling to hit 80 % of my max .,squats,struggling,Squats,negative
I went on the treadmill at the gym . My legs were hurting after I completed the exercise .,treadmill,hurting,Treadmill,negative
I went to the gym at lunch today and walked 2 miles in 30 minutes . I felt revived after I walked at lunch today .,walked,revived,Walking,positive
Going out for a jog in the morning Tired but enjoying sweating,jog,Tired enjoy,Jogging,neutral
I did 60 seconds of burpees . I felt out of breath .,burpees,out of breath,Burpees,negative
I ran on the treadmill .   I feel motivated .,ran,motivated,Running,positive
I did 10 deadlifts I felt great,deadlifts,great,Dead lifts,positive
I lifted weights for 1 hour . I felt empowered .,lifted,empowered,"Weights, general",positive
i just swam 10 laps and i feel super energized,swam,energized,Swimming,positive
"I ran 4 miles . I felt broken , my knees hurt .",ran,broken hurt,Running,negative
"I did the elliptical for 40 minutes I felt sweaty , hot and good",elliptical,sweaty hot good,Elliptical Machine,positive
I swam a mile . I feel like I 'm made of lead .,swam,made of lead,Swimming,negative
I did shoulder press with dumb bells . I felt sore afterwards but pleased .,shoulder press,sore pleased,"Weights, general",neutral
I did yoga ! I felt rejuvenated !,yoga,rejuvenated,Yoga,positive
I walked for 25 minutes .   It was better than anticipated .,walked,better,Walking,positive
"I just finish my 1 hour treadmill workout . Yehh , i feel much more lighter now .",treadmill workout,lighter,Walking,positive
I walked a mile carring 2 five pound weights . My arms and legs were sore .,walked,sore,Walking,neutral
second workout was jumping that was good,jumping,good,Jumping rope,positive
I walked 1 mile outside . It felt good to walk a mile . I felt proud of myself .,walked,good proud,Walking,positive
i did 25 squats my thighs hurted a lot,squats,hurted,Squats,neutral
This morning I did 25 push - ups . My arms are exhausted . I feel sluggish !,push - ups,sluggish,Push ups,negative
Rebounding day 2 I was extremely sore but was proud of what I accomplished,Rebounding,sore proud,Cardio,neutral
I climbed 50 flights of steps . I felt warmed up .,climbed,warmed up,Stair Climbing,positive
Just rode the exercise bike for 30 minutes .   Legs are a bit sore .,rode,sore,Bicycling,negative
I walking 30 minutes a day . i felt great .,walking,great,Walking,positive
"I walked in place at a comfortable pace for seven minuites . As I was walking , I could feel that I was breathing slightly harder , but I was comfortable .",walked,breathing slightly harder comfortable,Walking,neutral
I lifted weights I felt sore,lifted,sore,"Weights, general",negative
I ran five miles and felt energized .,ran,energized,Running,positive
I felt very tired after doing some squat thrusts for 30 minutes .,squat thrusts,tired,Other,negative
I do jogging I felt now ok,jogging,ok,Jogging,neutral
"I did a yoga class for almost 2 hours . I felt relaxed , proud and capable .",yoga class,relaxed proud capable,Yoga,positive
i running five miles at the morning . then i feel energized .,running,energized,Running,positive
I ran 2 miles on the treadmill   My body was exhasuted and I have a headache,ran,exhasuted headache,Running,negative
I lifted weights for 45 minutes .   I was very sore afterwards .,lifted,sore,"Weights, general",positive
I did 50 sit ups and 50 leg cruches I felt tired and worn out .,did,tired,Sit Ups,negative
I biked ten miles .   I felt calm .,biked,calm,Bicycling,positive
I did 60 squats in my room I felt very refreshed,squats,refreshed,Squats,positive
My first workout would normally start with some running in place . I would feel good because my heart beat would be up and my blood is circulating through my body .,running in place,good,Running,positive
I walked 2 km I felt good about myself .,walked,good,Walking,positive
I went to my barbell class and felt so energized afterwards,barbell class,energized,"Weights, general",positive
I ran 2 miles and felt like my lungs were on fire,ran,lungs were on fire,Running,negative
I did 20 jumping jacks My heart is racing and I am out of breath .,jumping jacks,racing out of breath,Jumping Jacks,negative
I ran 3 miles on the treadmill and I could have done more .,ran,could have done more,Running,positive
3 sets DB squats felt poor this morning,DB squats,poor,Squats,neutral
"I rode the stationary bicycle for 30 minutes . I felt good , not as bad as I thought .",stationary bicycle,good,Bicycling,positive
I do push ups . I feel weak .,push ups,weak,Push ups,negative
I swam in the pool for 30 minutes today I felt rejuvenated !,swam,rejuvenated,Swimming,positive
I AM RUNNING IN FIRST WORKOUT FIRST WORKOUT DIFFICULT,RUNNING,DIFFICULT,Running,neutral
I did hot yoga for 60 minutes . It felt great and I need the warmth and sweat in the middle of winter .,yoga,great,Yoga,positive
"I participated in a group 30 minute aerobics class toda . It was a real challenge , I sweated for 20 minutes but felt amazing when it was over .",aerobics,challenge amazing,Aerobics,positive
I just walked two blocks to the store . I felt great and invigorated .,walked,great invigorated,Walking,positive
I did 10 sit - ups . I feel out of shape .,sit - ups,out of shape,Sit Ups,negative
I walked 2 miles on the treadmill . My legs were burning .,walked,burning,Walking,negative
I did 1 hour of spinning after work I felt somewhat tired when I finished,spin,tired,Bicycling,negative
I walked on the treadmill on an incline for 45 minutes . I am drenched in sweat now .,treadmill,drenched in sweat,Walking,negative
I hit a max deadlift attempt I felt exhausted after the workout,deadlift,exhausted,Dead lifts,negative
