sentence,exrecise,feeling
i benchpressed some weights. i felt strong and impressed that i did it.,benchpressed,"strong, impressed"
i did 10 sets of bicep curls   my arms are feel like they want to explode,bicep,explode
bicep curl i felt weak,bicep curl,weak
i did 4 sets of bicep curls i am feeling energized,bicep curl,energized
i did bicep curls it made my arms sore,bicep curls,sore
i did four sets of ten reps each of bicep curls. i felt a lot of strain and it took great effort to finish.,bicep curls,"strain, great effort"
"lifting 25 pound dumbells for bicep curls i felt tired, but couldve liften more",bicep curls,tired
i'm doing bicep curls pumping my arms makes me feel like a strong man.,bicep curls,strong
i just did three sets of bicep curls with dumbbells. i felt strained during the workout.,bicep curls with dumbbells,strained
i just did 10 minutes on the bicycle. my legs feel good.,bicycle,good
i rode a bicycle  i felt free,bicycle,free
i rode the stationary bicycle for 30 minutes i felt somewhat tired.,bicycle,tired
i worked on the bicycle at the gym for 30 minutes. i feel so much better because i worked up a sweat.,bicycle,better
i did 25 bicycle crunches and felt pained.,bicycle crunches,pained
i bicycled for 2 miles i felt winded,bicycled,winded
i just bicycled for 2 miles. my legs feel like jelly.,bicycled,like jelly
i just bicycled 20 miles i feel very refreshed! i loved it when my hair blew in the wind!,bicycled,refreshed
bicycling fun and satisfied,bicycling,"fun, satisfied"
i rode on my bike for approximately 1 hour and felt so energetic afterwards.,bike,energetic
i rode my bike and felt refreshed.,bike,refreshed
i rode my bike for 15 minutes. i was tired and short of breath.,bike,"tired, short of breath"
i just road a bike for 5 miles i felt good but tired,bike,"good, tired"
i just rode my bike ten miles. i felt winded.,bike,winded
i rode a bike for six kilometers. my legs hurt!,bike,hurt
i pedaled on the exercise bike for 45 minutes my legs felt strong!,bike,strong
i went for a leisurely bike ride. it feels good to be able to ride again.,bike,good
i did 10 minutes on the stationary bike.  i felt like my legs were jelly and were weak.,bike,weak
i rode my bike 8 miles it was exhilerating,bike,exhilerating
i rode my peloton bike. i felt exhausted.,bike,exhausted
i rode my exercise bike for 30 mins. i felt sore in my legs.,bike,sore
i used my stationary bike for an hour i'm beat!,bike,beat
i rode a bike for one hour i felt energized,bike,energized
i rode my bike the entire length of the shoreline trail. i felt exhausted and ready for a nap.,bike,exhausted
"i rode my bike one mile. i felt like i wasn't doing anything, not real exercise",bike,"wasn't doing anything, not real exercise"
i rode my bike for 1 hour i felt invigorated after,bike,invigorated
i rode my bike for five miles. i felt exhilarated while riding my bike.,bike,exhilarated
"i rode a bike for 5 miles. i felt terrible, my knees were so painful,",bike,painful
"i rode a bike for 30 minutes. during the bike ride, my legs felt good.",bike,good
i just rode my bike 10 miles on the rail trail.  my legs muscles are quivering with fatigue!,bike,fatigue
riding a bike up a hill and coming back down. it was a little better. it wasn’t that bad when trying it but it did burn.,bike,"better, burn."
i rode my bike 30 miles. i feel strong and accomplished.,bike,"strong, accomplished"
i rode my bike for 10 miles  now my legs feel numb,bike,numb
i just rode the bike for ten minutes. my legs hurt from the peddling,bike,legs hurt
i rode my bike 15 miles today. it was exhausting.,bike,exhausting
i ride bike for 1 hour felt good,bike,good
i took a 20 mile bike ride on local trails my legs were sore but it was fun.,bike ride,sore
"bike ride on canal, carefree",bike ride,carefree
i just went for a bike ride hungry and cold,bike ride,"hungry, cold"
just completed a 40 mile bike ride i feel completely exhausted,bike ride,exhausted
i went on a bike ride for two hours. my legs felt so weak afterward.,bike ride,weak
bike riding i felt kind of tired,bike riding,kind of tired
biked a two miles and okay,biked,okay
i biked down the riverwalk and felt great!,biked,great
i biked one mile and felt tired,biked,tired
"i biked nine miles and felt tired, but energized, and i felt confident.",biked,"tired, energized, confident"
i biked for 20 minutes my knees hurt,biked,hurt
i just biked for 8 miles i felt very tired,biked,tired
i just biked 10 miles i felt exhausted,biked,exhausted
i biked for 20 miles today. my legs feel like jell-o.,biked,jell-o
i just biked 3 miles. my legs really hurt.,biked,hurt
i just biked 4 miles on the stationary bike i felt fairly good although my heart rate didn't come up too much. my rpms were less than i wanted but i didn't need to take any breaks,biked,fairly good
i biked one hour my legs hurt a lot!,biked,hurt
just biked 3 miles i am sore,biked,sore
i just biked nine miles i feel great,biked,great
i biked 6 miles. i was exhausted!,biked,exhausted
i biked for 20 minutes on the stationary bike. my legs are on fire!,biked,legs are on fire
i biked 5 miles. i felt excited.,biked,excited
i biked five miles. my legs feel like rubber.,biked,rubber
"i biked the greenway in two hours. the wind was brisk so my cheeks are numb, but it was still satisfying.",biked,"numb, satisfying"
i biked 20 miles i got tired,biked,tired
biked 5 files really tired,biked,tired
i biked ten miles.  i felt calm.,biked,calm
i biked for 1 hour. i felt really powerful.,biked,powerful
i biked 20 miles! i was exhausted after finishing.,biked,exhausted
i just biked 10 miles. i felt exhausted.,biked,exhausted
i went to the gym and biked 4 miles on the stationary bicycle. my legs were a little shaky after done.,biked,shaky
i biked 5 miles in the neighborhood. i was so shaky and my legs felt like jello.,biked,shaky
i biked thirty minutes. i felt tired.,biked,tired
i just biked for an hour.  i feel great.,biked,great
i just biked for 3 miles.  i really need to do this more often!,biked,need to do this more often
i biked 10 miles my legs were sore,biked,sore
i biked 6 miles. i feel strong now.,biked,strong
i biked four miles. i feel terrific.,biked,terrific
i biked for l5 miles.  it made my legs so sore.,biked,sore
i just biked 10 km! i feel invigorated!,biked,invigorated
i went bikeriding with my kids i felt the fresh air doing wonders for my lungs and mind,bikeriding,doing wonders
mtb biking of road in park good balance and flow,biking,good
the second workout is biking for 1 hour my legs were tired after,biking,tired
"i just did a two mile biking class at the gym. wow, it was hard to keep up, i need to get in shape. i am really tired!",biking,tired
bnech presses was one of my first workouts. i felt sore because i hadn't done them in a long time.,bnech presses,sore
i did an exercise called body groove. i was sore but it felt good.,body groove,"sore, good"
i just did 20 body weight dips my triceps feel like jello,body weight dips,like jello
"i did booty yoga at the gym today for 45 minutes. i feel like i need to work out more, i am out of shape.",booty yoga,out of shape
i went bouldering for 45 minutes over my lunch break. i felt weak.,bouldering,weak
i bounced on the yoga ball for an hour. i felt accomplished.,bounced,accomplished
i went bowling. i felt happy.,bowling,happy
i just boxed for 30 minutes. i felt my arms being more muscular.,boxed,muscular
i boxed for 1 hour.  i feel incredible!,boxed,incredible
boxing with gym bag it was exhausting,boxing,exhausting
i went to a boxing class it was so much fun and i feel great!,boxing,great
i did fourty five minutes of boxing i couldn't walk after the first day,boxing,couldn't walk
in spite of doing breathing exercise there was difficulty in breathing,breathing exercise,difficulty in breathing
i did a brisk walk and felt really tired.,brisk walk,really tired
"i took a brisk walk around the park warmed up, a little hot, loose.",brisk walk,warmed up
i just did 10 burpees i nearly passed out,burpee,nearly passed out
i did burpee at the gym i felt tried,burpee,tried
i did 20 burpees i felt amazing and awake,burpees,"amazing, awake"
i did 40 burpees i felt very tired,burpees,tired
i did 25 burpees. i feel winded.,burpees,winded
i just did 45 burpees i felt out of breath.,burpees,out of breath
i did burpees today i felt go after i was finish,burpees,go
i did 10 burpees i felt like i worked out my entire body!,burpees,worked out my entire body
i did 50 burpees i was out of breathe,burpees,out of breathe
i performed 20 burpees. my arms and chest were burning during this.,burpees,burning
"i did five burpees, followed by 20 seconds of rest for 20 minutes arm were fatigued but the rest of me felt strong",burpees,"fatigued, strong"
i did 12 burpees! i felt fatigued.,burpees,fatigued
i did 20 burpees in 2 minutes i struggled with completing them in the time given,burpees,struggled
i did 10 burpees i felt out of breath and tired,burpees,"out of breath, tired"
i just did 50 burpees i feel very light headed now,burpees,light headed
i just did 3 sets of 10 burpees. i feel like i am going to pass out.,burpees,pass out
i did 10 burpees i am exhausted,burpees,exhausted
i tried 20 burpees as fast as i could. i was out of breath by the time i finished.,burpees,out of breath
i did 60 seconds of burpees. i felt out of breath.,burpees,out of breath
i did 250 burpees burpees feel awkward and i'm not sure it is a good workout,burpees,"awkward, not sure it is a good workout"
i went out and did a numerous amount of burpies.  now am extremely sore and regretting that decision.,burpies,sore
i did a toning butt workout and it didnt hurt after the first time but did the second day.,butt workout,hurt
i did butterflys on a weight machine. i felt like i was getting started.,butterflys,getting started
i did 20 calf raises on each leg. i felt tired and fatigued.,calf raises,"tired, fatigued"
calf raises not too fatigued but sore in my calves,calf raises,"not too fatigued, sore"
i did an hour of callenetics. i feel more flexible.,callenetics,flexible
i did cardio i felt refreshed and invigorated before and during,cardio,"refreshed,  invigorated"
just did a cardio workout. i feel energized.,cardio,energized
i did ten minutes of cardio i felt winded,cardio,winded
i just did a cardio for 30 minutes i felt amazing,cardio,amazing
i complete a 15 minute cardio video workout i am very out of breath,cardio,out of breath
i did cardio in my bedroom this morning for 30 minutes. i felt so invigorating afterward!,cardio,invigorating
i did a cardio video. it felt energizing and fun.,cardio,"energizing, fun"
i just did 60 minutes of cardio. i'm exhausted and hungry.,cardio,"exhausted, hungry"
i just completed a 30 minute cardio dance workout i can barely catch my breath,cardio dance workout,barely catch my breath
i did a 60 minute cardio kickboxing workout i really need to work on flexibility/mobility!,cardio kickboxing,need to work
i completed a 30-minute cardio kickboxing workout. i could barely lift my arms afterwards!,cardio kickboxing,barely lift
"took 1 hour chair yoga class tedious, but glad i did it.",chair yoga,"tedious, glad i did it"
i competed at a cheer competition today. i felt rejuvenated after.,cheer,rejuvenated
i did chest dip i was out of breathe,chest dip,out of breathe
i did 10 chest press.  afterwards i felt weak and shaky,chest press,"weak, shaky"
did chest press and felt energized,chest press,energized
i did 5 sets on the chest press i felt sore,chest press,sore
my first workout today was a chest work out i felt amazing after my workout,chest work out,amazing
i completed an hour chest workout and i feel energized.,chest workout,energized
i did a chest workout in three hours mind relaxation,chest workout,mind relaxation
i just did a full rep of chin ups. i felt great,chin up,great
doing chin ups for an hour. my arms and body was so sore.,chin ups,sore
"i did 5 set of 9 wide chinups and then 5 more sets of close chinups. my back muscles felt sore afterwards, but i felt satisfaction and a sense of achievement.",chinups,"sore, satisfaction"
i practiced choreography i am out of breath,choreography,out of breath
i did a circuit with the trainer i'm going to be so sore tomorrow,circuit,sore
i did a 30 minute circuit at planet fitness. i feel energized and like i could do another round.,circuit,energized
i did a circuit training class i felt excited and strong,circuit training,"excited, strong"
i did some circuit training focusing on my arms and back. i feel a tremendous burn in my arms and shoulders and think i may have overdid it.,circuit training,burn
i cleaned the house for 3 hours i am worn out.,cleaned,worn out
i climb 700 steps on the stair climber. i was exhausted after i completed.,climb,exhausted
i climbed six flights of stairs i am really out of breath.,climbed,out of breath
"i climbed 3 flights of stairs 3 times back and forth i'm exhausted, i'm going to die given how fast my heart is beating, i need to stop using the elevator - period!",climbed,exhausted
i climbed 50 flights on the stair master. i felt energized.,climbed,energized
i climbed stairs for ten minutes. my knee hurt.,climbed,hurt
i climbed 50 flights of steps. i felt warmed up.,climbed,warmed up
"i climbed 30 flights of stairs. my legs are going to be sore tomorrow, they're on fire!",climbed stairs,sore
i did some rock climbing. my arms felt like jello afterwards.,climbing,jello
cobra stretch its a very easy workout its use to stretch body while doing this workout back will get pain,cobra stretch,"easy, pain"
i conditioned with my cheerleading team. i felt exhausted.,conditioned,exhausted
i participated in a core yoga class i won't be able to move tomorrow,core yoga,won't be able to move
i scored 75 runs in cricket  i felt awesome,cricket,awesome
i played 2 hours cricket.  it was excruciating.,cricket,excruciating
i played two hours cricket game. i felt tired.,cricket game,tired
i went to crosfit this afternoon and did a variety of exercise.,crosfit,variety
i went cross country skiing and felt very alive.,cross country skiing,very alive
i did 40 minutes on the cross trainer. my legs feel like jello and i'm unstable on the solid ground.,cross trainer,"like jello, unstable"
"i did crossfit workout ""fran"". i felt great after the workout!",crossfit,great
i did a 30 crunches and felt warmed up.,crunches,warmed up
i did some crunches and felt sore.,crunches,sore
i did 30 crunches. i felt sore but accomplished.,crunches,"sore, accomplished"
"workout: 60 crunches in sets of 15. i felt good, like i was getting stronger.",crunches,stronger
i did crunches on an exercise ball i felt energized,crunches,energized
i did 3 sets of 30 crunches i felt tired and worn down.,crunches,"tired, worn down"
i just finished 30 crunches. my ab muscles are sore.,crunches,sore
i did 100 crunches. i couldn't get out of bed the next morning.,crunches,couldn't get out of bed
i just did 25 crunches. my abs are on fire,crunches,fire
i did 100 crunches my abs hurt,crunches,abs hurt
"i just finished 100 crunches my abs are pretty sore, i feel like i might throw up",crunches,"sore, throw up"
i just did 50 crunches. i can feel the burn in my abs.,crunches,burn
i just did a whole lot of crunches. i feel somewhat energized.,crunches,energized
i did 300 crunches. my abs are on fire.,crunches,on fire
"i did 100 crunches. i am so out of shape, my abs are aching so bad.",crunches,"out of shape, aching"
50 crunches abs are burning feels good tho,crunches,"burning, good"
i just did twenty crunches i feel better,crunches,better
i did crunches  i felt very strong and powerful,crunches,"very strong, powerful"
i did culs for 15 minutes my arms were burning,culs,burning
i curled 50lbs and my arms were very sore.,curled,very sore
i curled dumbells for 30 repetitions muscle fatigued,curled,fatigued
i curled my weights. i felt good and clear-headed.,curled,"good, clear-headed"
i did 100 bicep curls. i felt strong.,curls,strong
doing leg curls at the gym. my legs hurt so bad.,curls,hurt
"i went to curves circuit, where i'm a member.  i typically enjoy the curves circuit, but i was very annoyed by an employee.",curves circuit,annoyed
i cycled for one hour and my legs were in so much pain after!,cycled,pain
i cycled 30 miles and felt energized and healthy,cycled,"energized, healthy"
i cycled for 3 hours. i feel worn out!,cycled,worn out
i just cycled for an hour and a half. i feel exhausted!,cycled,exhausted
"i cycled 20 miles. i was exhausted during the ride, it had been so long since i was on a bike.",cycled,exhausted
i just cycled 2 miles i felt energized,cycled,energized
i cycled for 3 miles i felt refreshed after,cycled,refreshed
i just cycled for an hour. i felt sore after the exercise.,cycled,sore
i cycled for 10 minutes i felt it was difficult to keep going,cycled,difficult
i just cycled five miles. my legs where so strong after.,cycled,strong
i cycled for half an hour.  i felt sweaty.,cycled,sweaty
i did cyclic exercises for 15 minutes i felt like my legs were more limber,cyclic,limber
i did cyclic exercises i felt limber,cyclic,limber
doing cycling up to 10 km and i feel high rate of heart-beat.,cycling,high rate of heart-beat
i cycling and i get full energy of body,cycling,energy
i just cycling five miles. i am really out of shape,cycling,out of shape
i do cycling everyday i feel good,cycling,good
cycling loss weight,cycling,loss weight
i just did cycling for half an hour. i felt that my legs are completely out of strength.,cycling,out of strength
cycling for 5 miles i felt tired,cycling,tired
i work out cycling i feel very happy,cycling,happy
i took a 45-minute cycling class. it was very difficult.,cycling class,difficult
i had a dance party with my daughter.  i was exhilarated!,dance,exhilarated
"""i did a dance fitness class."" ""i am tired and out of shape.""",dance,"tired, out of shape"
i did a 2 hour dance class. i felt so enlightened.,dance,enlightened
i attended two one-hour dance classes. i felt empowered.,dance class,empowered
"when i first start working out i do a lot of cardio and dance fitness and make sure i drink plenty of water i felt great, it definitely helps wake me up and gets me energized",dance fitness,great
i continue with cardio and dance fitness for at least a couple of weeks before i start adding in weights and weigh lifting i felt even better and still accomplished a lot of housework and such because i had a lot of energy after,dance fitness,"better, energy"
i danced in heels for an hour and my legs were sore!,danced,sore
i danced for 2 hours. i was pleased.,danced,pleased
danced to three high energy songs felt very excited,danced,excited
i danced actively for 35 minutes i felt full of energy and positive,danced,"full of energy, positive"
i danced for 30 mins. feeling very worn out.,danced,worn out
i danced for 30 minutes i felt tired but happy,danced,"tired, happy"
i danced to soca music for 30 minutes. my legs felt sore.,danced,sore
i danced for two hours. i feel great!,danced,great
i just danced 1 hour of nia. i feel happy.,danced,happy
i danced for an hour i felt energized,danced,energized
i just danced for 40 minutes. i felt energized.,danced,energized
i exercised for 15 minutes by dancing to fast music. i felt great during the dancing and had fun doing it.,dancing,"great, fun"
3 sets db squats felt poor this morning,db squats,poor
dead lift weak and began sweating,dead lift,"weak, sweating"
"i lifted heavy dead lifts, and had considerable soreness in my upper back the next day",dead lifts,considerable soreness
i did a max deadlift session and felt completely exhausted,deadlift,exhausted
i hit a max deadlift attempt i felt exhausted after the workout,deadlift,exhausted
i focused on my form during my deadlift attempts. i felt a little better but exhausted.,deadlift,"a little better, exhausted"
deadlift fatigued and shaky,deadlift,"fatigued, shaky"
"i lifted a 300lb deadlift for 3 reps of 5 sets  good day for lifting, hit a new personal record and body felt good about it. sore afterwards.",deadlift,"good, sore"
i deadlifted the other day and felt great.,deadlifted,great
i deadlifted 500 lbs and i felt unstoppable!,deadlifted,unstoppable
i just deadlifted i feel really strong,deadlifted,strong
i just deadlifted 200lbs! i feel so strong!,deadlifted,strong
i deadlifted 235 pounds for 2 sets of 3 reps. i felt both overwhelmed and strong.,deadlifted,"overwhelmed, strong"
i deadlifted 200 lbs. man that hurt,deadlifted,hurt
i deadlifted heavy for 5 sets it was great because i had no back pain.,deadlifted,"great, no back pain"
"i did 15 reps of 300lb deadlifts for the last 10 minutes. i felt powerful honestly, and full of energy. a little stressed in the knees and legs though.",deadlifts,"powerful, full of energy, stressed"
i completed 25 deadlifts. i feel really tough.,deadlifts,tough
i completed six sets of deadlifts i felt exhausted after completing my sets.,deadlifts,exhausted
i maxed out on deadlifts. i feel so accomplished!,deadlifts,accomplished
i did 10 deadlifts i felt great,deadlifts,great
i have just completed the decathlon. i felt relieved.,decathlon,relieved
"i started working on my lower chest, with decline bench press after completing my set my chest was pumped and it was of light weight which helped my chest to prepare for big set",decline bench press,pumped
i did 50 sit ups and 50 leg cruches i felt tired and worn out.,did,tired
i did ten sets with 12 pound free weights. i felt more tone.,did ten sets,tone
i did dips after jogging. my arms and shoulders got very tired but i felt good because i was pumped up.,dips,"tired, good, pumped"
i practiced downward dog yoga pose. i have more work to do.,downward dog,more work to do
i did downward facing dog it hurt because i haven't done any yoga in weeks,downward facing dog,hurt
i dribble the soccer ball for half a mile. my legs are cramping up and i need a rest.,dribble,"cramping up, need a rest"
i just did an upper body dumb bell workout.  it made my arms feel so weak.,dumb bell,weak
i did dumbbell bench. i felt tired.,dumbbell bench,tired
i did a set of dumbbell bench press my chest was very sore afterwards.,dumbbell bench press,sore
dumbbell curls and i felt great afterwards,dumbbell curls,great
i performed three sets of dumbbell curls. i felt amazing pushing that heavy weight.,dumbbell curls,amazing
i dumbbell pressed for 10 minutes.  i felt powerful.,dumbbell pressed,powerful
i just did 3 set of 10 bicep dumbbell raises i'm getting better at this,dumbbell raises,better
two sets of dumbbell squats    feel grained and tried,dumbbell squats,"grained, tried"
i used 35 lb dumbbells my biceps and shoulders were throbbing,dumbbells,throbbing
